# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	365
#@/user_id	ce691420-c117-44fd-b059-f26880bffdd0
bao chi 	保持	c=1 d=1 t=159
wan quan 	完全	c=1 d=1 t=54
wei 	为	c=17 d=10.8657 t=349
wei fen 	微分	c=0 d=0.1 t=307
wen ti 	问题	c=1 d=1 t=226
wo shi 	我是	c=1 d=1 t=216
wu li 	物理	c=1 d=1 t=67
xi tong 	系统	c=6 d=4.07724 t=267
xi zong 	熙宗	c=1 d=1 t=57
xi zong 	系踪	c=1 d=1 t=59
xia 	下	c=1 d=1 t=37
xian ran 	显然	c=1 d=1 t=117
xiang 	项	c=2 d=1.85214 t=318
xiang dui 	相对	c=2 d=1.92312 t=28
xiang tong 	相同	c=1 d=1 t=55
xiao qu 	小区	c=1 d=1 t=314
xiao qu 	消去	c=1 d=1 t=317
xie cheng 	写成	c=1 d=1 t=97
ya qiang 	压强	c=1 d=1 t=180
ye 	也	c=2 d=1.40454 t=315
ye jiu 	也就	c=1 d=1 t=183
ye ke yi 	也可以	c=1 d=1 t=313
ye shi 	也是	c=1 d=1 t=230
yi 	一	c=1 d=1 t=44
yi ge 	一个	c=6 d=5.33094 t=240
yi ji 	以及	c=1 d=1 t=80
yi lai 	依赖	c=2 d=1.96561 t=122
yi xia 	以下	c=1 d=1 t=199
yi yi 	意义	c=2 d=1.55433 t=186
yi zhi 	一直	c=1 d=1 t=2
yi zhi 	已知	c=2 d=1.38481 t=194
yin ci 	因此	c=2 d=1.49659 t=281
yin ru 	引入	c=1 d=1 t=178
yong liang 	用量	c=0 d=0.1 t=275
you 	有	c=3 d=1.5067 t=329
you 	由	c=3 d=1.86469 t=328
you bian 	右边	c=1 d=1 t=153
you le 	有了	c=1 d=1 t=184
you qie jin you 	有且仅有	c=1 d=1 t=289
you qu 	有趣	c=1 d=1 t=207
you yu 	由于	c=1 d=1 t=280
yu 	与	c=1 d=1 t=84
yu bei zhi shi 	预备知识	c=1 d=1 t=234
yu chun 	愚蠢	c=1 d=1 t=340
yu shi 	于是	c=3 d=1.92359 t=341
yuan li 	原理	c=1 d=1 t=277
yun dong 	运动	c=7 d=5.2078 t=343
zai 	在	c=3 d=1.56578 t=358
zhang luo 	涨落	c=2 d=1.92312 t=29
zhe ge 	这个	c=4 d=3.12754 t=181
zhe jiu you 	这就有	c=1 d=1 t=198
zhe shi 	这是	c=1 d=1 t=1
zhe shi ge 	这是个	c=1 d=1 t=224
zhen fang 	侦防	c=0 d=0.1 t=194
zheng ge 	整个	c=1 d=1 t=260
zheng ze 	正则	c=4 d=2.31409 t=347
zhi 	值	c=3 d=2.76181 t=52
zhi dan 	制单	c=1 d=1 t=242
zhi dian 	指点	c=1 d=1 t=241
zhi dian 	质点	c=1 d=1 t=243
zhi shou 	只收	c=1 d=1 t=363
zhong 	中	c=9 d=5.17756 t=362
zhu yi dao 	注意到	c=1 d=1 t=147
zhuang tai 	状态	c=2 d=1.89137 t=269
zi 	子	c=0 d=0.1 t=290
zi you neng 	自由能	c=4 d=3.41867 t=144
zong he 	综合	c=1 d=1 t=61
zui 	最	c=1 d=1 t=40
zui xiao 	最小	c=1 d=1 t=275
zuo 	做	c=0 d=0.1 t=275
zuo bian 	左边	c=1 d=1 t=174
zuo biao 	坐标	c=1 d=1 t=254
zuo chu 	做出	c=1 d=1 t=205
zuo he 	作何	c=1 d=1 t=60
zuo yong liang 	做用量	c=1 d=1 t=276
